,training_data_thu.csv_diff,count1,training_data_ICTCLAS.csv_diff,count2,training_data_thu.csv_SegmentedInput,training_data_ICTCLAS.csv_SegmentedInput
1660,! 本利丰,1,! 本利 ! 丰,2,本利丰 是 什么 意思,本利 丰 是 什么 意思
1661,! 本利丰,1,! 本利 ! 丰,2,本利丰 投资 方向 是 什么,本利 丰 投资 方向 是 什么
1662,,0,,0,请 介绍 一下 本利 丰 产品,请 介绍 一下 本利 丰 产品
1663,! 汇利 ! 丰保 ! 本,3,! 汇 ! 利丰 ! 保本,3,汇利 丰保 本 吗,汇 利丰 保本 吗
1664,! 汇利 ! 丰产品,2,! 汇 ! 利丰 ! 产品,3,汇利 丰产品 的 特点,汇 利丰 产品 的 特点
1665,! 汇利丰,1,! 汇 ! 利丰,2,汇利丰 的 收益 高 吗,汇 利丰 的 收益 高 吗
1666,! 汇利 ! 丰理 ! 财产品,3,! 汇 ! 利丰 ! 理财 ! 产品,4,汇利 丰理 财产品 收益 怎么样,汇 利丰 理财 产品 收益 怎么样
1667,! 汇利丰,1,! 汇 ! 利丰,2,汇利丰 是 什么 东西,汇 利丰 是 什么 东西
1668,! 汇利丰,1,! 汇 ! 利丰,2,汇利丰 是 什么 意思,汇 利丰 是 什么 意思
1669,! 汇利丰,1,! 汇 ! 利丰,2,汇利丰 投资 方向 是 什么,汇 利丰 投资 方向 是 什么
1670,! 汇利 ! 丰,2,! 汇 ! 利丰,2,郑州 银行 汇利 丰 有 风险 吗,郑州 银行 汇 利丰 有 风险 吗
1671,! 汇利 ! 丰产品,2,! 汇 ! 利丰 ! 产品,3,请 介绍 一下 汇利 丰产品,请 介绍 一下 汇 利丰 产品
1672,! 汇利 ! 丰,2,! 汇 ! 利丰,2,什么 是 汇利 丰,什么 是 汇 利丰
1673,! 得 ! 利,2,! 得利,1,安心 得 利 保本 吗,安心 得利 保本 吗
1674,! 得 ! 利,2,! 得利,1,安心 得 利 产品 的 特点,安心 得利 产品 的 特点
1675,,0,,0,安心 得 利 的 风险 高 吗,安心 得 利 的 风险 高 吗
1676,! 得 ! 利,2,! 得利,1,安心 得 利 理财 产品 收益 怎么样,安心 得利 理财 产品 收益 怎么样
1677,! 得 ! 利,2,! 得利,1,安心 得 利 是 什么 东西,安心 得利 是 什么 东西
1678,! 得 ! 利,2,! 得利,1,安心 得 利 是 什么 意思,安心 得利 是 什么 意思
1679,! 得 ! 利,2,! 得利,1,安心 得 利 投资 方向 是 什么,安心 得利 投资 方向 是 什么
1680,! 得 ! 利,2,! 得利,1,郑州 银行 安心 得 利 有 风险 吗,郑州 银行 安心 得利 有 风险 吗
1681,! 得 ! 利,2,! 得利,1,请 介绍 一下 安心 得 利 产品,请 介绍 一下 安心 得利 产品
1682,! 得 ! 利,2,! 得利,1,安心 得 利 理财 产品 购买 什么 时候 都 可以 吗,安心 得利 理财 产品 购买 什么 时候 都 可以 吗
1683,! 得 ! 利,2,! 得利,1,安心 得 利 理财 产品 购买 时间段,安心 得利 理财 产品 购买 时间段
1684,! 得 ! 利 ! 还有,3,! 得利 ! 还 ! 有,3,安心 得 利 理财 产品 还有 开放 期 吗,安心 得利 理财 产品 还 有 开放 期 吗
1685,! 得 ! 利 ! 起息,3,! 得利 ! 起 ! 息,3,安心 得 利 理财 产品 什么 时候 起息,安心 得利 理财 产品 什么 时候 起 息
1686,! 得 ! 利 ! 一 ! 天,4,! 得利 ! 一天,2,安心 得 利 是 一 天 24 小时 都 能 购买 吗,安心 得利 是 一天 24 小时 都 能 购买 吗
1687,! 得 ! 利,2,! 得利,1,节假日 可以 购买 安心 得 利 理财 产品 吗,节假日 可以 购买 安心 得利 理财 产品 吗
1688,! 节假 ! 日前 ! 一 ! 天 ! 不 ! 能 ! 得 ! 利,8,! 节假日 ! 前 ! 一天 ! 不能 ! 得利,5,节假 日前 一 天 怎么 也 不 能 购买 安心 得 利 产品,节假日 前 一天 怎么 也 不能 购买 安心 得利 产品
1689,,0,,0,什么 时候 能 买 安心 得 利,什么 时候 能 买 安心 得 利
1690,! 得 ! 利,2,! 得利,1,我 买 了 安心 得 利 产品 为什么 还 没有 扣 钱,我 买 了 安心 得利 产品 为什么 还 没有 扣 钱
1691,! 得 ! 利,2,! 得利,1,只能 工作日 才 能 买 安心 得 利 吗,只能 工作日 才 能 买 安心 得利 吗
1692,,0,,0,安心 快 线 保本 吗,安心 快 线 保本 吗
1693,! 快线,1,! 快 ! 线,2,安心 快线 产品 的 特点,安心 快 线 产品 的 特点
1694,,0,,0,安心 快 线 的 风险 高 吗,安心 快 线 的 风险 高 吗
1695,! 快线,1,! 快 ! 线,2,安心 快线 是 什么 东西,安心 快 线 是 什么 东西
1696,! 快线,1,! 快 ! 线,2,安心 快线 是 什么 意思,安心 快 线 是 什么 意思
1697,! 快线,1,! 快 ! 线,2,安心 快线 投资 方向 是 什么,安心 快 线 投资 方向 是 什么
1698,,0,,0,郑州 银行 安心 快 线 有 风险 吗,郑州 银行 安心 快 线 有 风险 吗
1699,! 快线,1,! 快 ! 线,2,请 介绍 一下 安心 快线 产品,请 介绍 一下 安心 快 线 产品
1700,,0,,0,安心 灵动 保本 吗,安心 灵动 保本 吗
1701,,0,,0,安心 灵动 产品 的 特点,安心 灵动 产品 的 特点
1702,,0,,0,安心 灵动 的 风险 高 吗,安心 灵动 的 风险 高 吗
1703,,0,,0,安心 灵动 是 什么 东西,安心 灵动 是 什么 东西
1704,,0,,0,安心 灵动 是 什么 意思,安心 灵动 是 什么 意思
1705,,0,,0,安心 灵动 投资 方向 是 什么,安心 灵动 投资 方向 是 什么
1706,,0,,0,郑州 银行 安心 灵动 有 风险 吗,郑州 银行 安心 灵动 有 风险 吗
1707,,0,,0,请 介绍 一下 安心 灵动 产品,请 介绍 一下 安心 灵动 产品
1708,! 办理 ! 财,2,! 办 ! 理财,2,办理 财 业务 都 有 什么 渠道,办 理财 业务 都 有 什么 渠道
1709,,0,,0,除了 网点 柜台 还有 哪里 可以 办理 理财,除了 网点 柜台 还有 哪里 可以 办理 理财
1710,,0,,0,购买 理财 产品 的 途径 都 有 哪些,购买 理财 产品 的 途径 都 有 哪些
1711,! 办理 ! 财,2,! 办 ! 理财,2,哪些 地方 能 办理 财 业务,哪些 地方 能 办 理财 业务
1712,,0,,0,哪些 渠道 可以 维护 理财 产品 信息,哪些 渠道 可以 维护 理财 产品 信息
1713,,0,,0,哪些 途径 可以 操作 理财 业务,哪些 途径 可以 操作 理财 业务
1714,! 网银,1,! 网 ! 银,2,郑州 银行 网银 能 办理 理财 业务 吗,郑州 银行 网 银 能 办理 理财 业务 吗
1715,,0,,0,什么 渠道 可以 操作 理财 业务,什么 渠道 可以 操作 理财 业务
1716,,0,,0,现金 管理 客户 端 可以 办理 理财 业务 吗,现金 管理 客户 端 可以 办理 理财 业务 吗
1717,! 得 ! 利,2,! 得利,1,安心 得 利 到期 但是 钱 没 回来,安心 得利 到期 但是 钱 没 回来
1718,! 得 ! 利,2,! 得利,1,安心 得 利 到期 后 什么 时候 到 账,安心 得利 到期 后 什么 时候 到 账
1719,! 得 ! 利,2,! 得利,1,安心 得 利 到期 后 资金 入账 时间 有 限制 吗,安心 得利 到期 后 资金 入账 时间 有 限制 吗
1720,! 得 ! 利,2,! 得利,1,安心 得 利 到期 了 需要 操作 赎回 吗,安心 得利 到期 了 需要 操作 赎回 吗
1721,! 得 ! 利 ! 卡里,3,! 得利 ! 卡 ! 里,3,安心 得 利 到 账 是 直接 把 钱 打 到 卡里 吗,安心 得利 到 账 是 直接 把 钱 打 到 卡 里 吗
1722,! 本利丰,1,! 本利 ! 丰,2,本利丰 到期 但是 钱 没 回来,本利 丰 到期 但是 钱 没 回来
1723,! 本利丰,1,! 本利 ! 丰,2,本利丰 到期 后 什么 时候 到 账,本利 丰 到期 后 什么 时候 到 账
1724,! 本利丰,1,! 本利 ! 丰,2,本利丰 到期 后 资金 入账 时间 有 限制 吗,本利 丰 到期 后 资金 入账 时间 有 限制 吗
1725,! 本利丰,1,! 本利 ! 丰,2,本利丰 到期 了 需要 操作 赎回 吗,本利 丰 到期 了 需要 操作 赎回 吗
1726,! 本利丰 ! 卡里,2,! 本利 ! 丰 ! 卡 ! 里,4,本利丰 到 账 是 直接 把 钱 打 到 卡里 吗,本利 丰 到 账 是 直接 把 钱 打 到 卡 里 吗
1727,! 丰理 ! 财产品,2,! 丰 ! 理财 ! 产品,3,本利 丰理 财产品 购买 时间段,本利 丰 理财 产品 购买 时间段
1728,! 丰理 ! 财产品 ! 还有,3,! 丰 ! 理财 ! 产品 ! 还 ! 有,5,本利 丰理 财产品 还有 开放 期 吗,本利 丰 理财 产品 还 有 开放 期 吗
1729,! 丰理 ! 财产品 ! 起息,3,! 丰 ! 理财 ! 产品 ! 起 ! 息,5,本利 丰理 财产品 什么 时候 起息,本利 丰 理财 产品 什么 时候 起 息
1730,! 本利丰 ! 一 ! 天,3,! 本利 ! 丰 ! 一天,3,本利丰 是 一 天 24 小时 都 能 购买 吗,本利 丰 是 一天 24 小时 都 能 购买 吗
1731,! 本 ! 利 ! 丰理 ! 财产品,4,! 本利 ! 丰 ! 理财 ! 产品,4,节假日 可以 购买 本 利 丰理 财产品 吗,节假日 可以 购买 本利 丰 理财 产品 吗
1732,! 节假 ! 日前 ! 一 ! 天 ! 不 ! 能 ! 本 ! 利丰,8,! 节假日 ! 前 ! 一天 ! 不能 ! 本利 ! 丰,6,节假 日前 一 天 怎么 也 不 能 购买 本 利丰 产品,节假日 前 一天 怎么 也 不能 购买 本利 丰 产品
1733,! 本 ! 利丰,2,! 本利 ! 丰,2,什么 时候 能 买 本 利丰,什么 时候 能 买 本利 丰
1734,! 本 ! 利丰,2,! 本利 ! 丰,2,我 买 了 本 利丰 产品 为什么 还 没有 扣 钱,我 买 了 本利 丰 产品 为什么 还 没有 扣 钱
1735,! 本 ! 利丰,2,! 本利 ! 丰,2,只能 工作日 才 能 买 本 利丰 吗,只能 工作日 才 能 买 本利 丰 吗
1736,! 对 ! 公理 ! 财,3,! 对公 ! 理财,2,对 公理 财 签约 需要 什么 条件,对公 理财 签约 需要 什么 条件
1737,! 对 ! 公理 ! 财,3,! 对公 ! 理财,2,对 公理 财 业务 的 签约 流程,对公 理财 业务 的 签约 流程
1738,! 对 ! 公账户,2,! 对公 ! 账户,2,对 公账户 只能 在 开户行 办理 自动 理财 签约 吗,对公 账户 只能 在 开户行 办理 自动 理财 签约 吗
1739,! 非 ! 法人,2,! 非法 ! 人,2,非 法人 能 办理 自动 理财 产品 的 签约 吗,非法 人 能 办理 自动 理财 产品 的 签约 吗
1740,! 想 ! 开自动 ! 办理,3,! 想开 ! 自动 ! 办 ! 理,4,企业 想 开自动 理财 怎么 办理,企业 想开 自动 理财 怎么 办 理
1741,,0,,0,企业 账户 拿 什么 东西 去 柜台 开立 自动 理财 业务,企业 账户 拿 什么 东西 去 柜台 开立 自动 理财 业务
1742,! 对 ! 公理 ! 财,3,! 对公 ! 理财,2,签约 对 公理 财 有 什么 要求,签约 对公 理财 有 什么 要求
1743,! 对 ! 公理 ! 财 ! 办理,4,! 对公 ! 理财 ! 办 ! 理,4,请 介绍 一下 对 公理 财 业务 签约 怎么 办理,请 介绍 一下 对公 理财 业务 签约 怎么 办 理
1744,,0,,0,去 柜台 开立 企业 账户 自动 理财 都 带 什么 资料,去 柜台 开立 企业 账户 自动 理财 都 带 什么 资料
1745,! 对 ! 公理 ! 财,3,! 对公 ! 理财,2,对 公理 财 业务 的 赎回 在 哪个 网点 办理,对公 理财 业务 的 赎回 在 哪个 网点 办理
1746,! 对 ! 公理 ! 财账户,3,! 对公 ! 理财 ! 账户,3,对 公理 财账户 怎么 办理 赎回,对公 理财 账户 怎么 办理 赎回
1747,! 对 ! 公账户,2,! 对公 ! 账户,2,对 公账户 带 什么 资料 办理 赎回,对公 账户 带 什么 资料 办理 赎回
1748,! 对 ! 公账户 ! 通过,3,! 对公 ! 账户 ! 通 ! 过,4,对 公账户 通过 什么 方式 办理 赎回 理财 产品,对公 账户 通 过 什么 方式 办理 赎回 理财 产品
1749,! 对 ! 公理 ! 财,3,! 对公 ! 理财,2,可以 通过 什么 方式 办理 对 公理 财 的 赎回,可以 通过 什么 方式 办理 对公 理财 的 赎回
1750,! 网银 ! 对 ! 公理 ! 财,4,! 网 ! 银 ! 对公 ! 理财,4,通过 网银 怎么 办理 对 公理 财 的 赎回,通过 网 银 怎么 办理 对公 理财 的 赎回
1751,! 银企通 ! 对 ! 公理 ! 财,4,! 银企 ! 通 ! 对公 ! 理财,4,在 银企通 平台 如何 办理 对 公理 财 的 赎回 业务,在 银企 通 平台 如何 办理 对公 理财 的 赎回 业务
1752,! 怎么办 ! 对 ! 公理 ! 财,4,! 怎么 ! 办 ! 对公 ! 理财,4,怎么办 对 公理 财 的 赎回,怎么 办 对公 理财 的 赎回
1753,,0,,0,怎么 才 能 赎回 理财 产品,怎么 才 能 赎回 理财 产品
1754,! 对 ! 公理 ! 财赎 ! 回,4,! 对公 ! 理财 ! 赎回,3,怎么 到 网点 办理 对 公理 财赎 回,怎么 到 网点 办理 对公 理财 赎回
1755,! 对 ! 公账户,2,! 对公 ! 账户,2,带 哪些 材料 去 办理 对 公账户 理财 产品,带 哪些 材料 去 办理 对公 账户 理财 产品
1756,! 对 ! 公,2,! 对公,1,对 公 客户 购买 理财 产品 任意 网点 都 可以 办理 吗,对公 客户 购买 理财 产品 任意 网点 都 可以 办理 吗
1757,! 对 ! 公账户,2,! 对公 ! 账户,2,对 公账户 开立 理财 产品 需要 什么 手续,对公 账户 开立 理财 产品 需要 什么 手续
1758,! 对 ! 公账户,2,! 对公 ! 账户,2,对 公账户 能 购买 理财 吗,对公 账户 能 购买 理财 吗
1759,! 对 ! 公账户,2,! 对公 ! 账户,2,对 公账户 怎么 购买 理财,对公 账户 怎么 购买 理财
1760,,0,,0,公司 账户 购买 理财 产品 有 哪些 途径,公司 账户 购买 理财 产品 有 哪些 途径
1761,,0,,0,公司 账户 申购 理财 产品 的 流程,公司 账户 申购 理财 产品 的 流程
1762,,0,,0,企业 账户 购买 理财 产品 有 哪些 渠道,企业 账户 购买 理财 产品 有 哪些 渠道
1763,,0,,0,怎样 以 公司 名义 购买 理财 产品,怎样 以 公司 名义 购买 理财 产品
1764,! 个人,1,! 个 ! 人,2,个人 理财 产品 如何 办 理解 约,个 人 理财 产品 如何 办 理解 约
1765,! 赎 ! 回去,2,! 赎回 ! 去,2,理财 产品 赎 回去 哪 办,理财 产品 赎回 去 哪 办
1766,,0,,0,买 理财 的 钱 怎么 拿 回来,买 理财 的 钱 怎么 拿 回来
1767,,0,,0,哪些 渠道 可以 办理 理财 产品 的 赎回,哪些 渠道 可以 办理 理财 产品 的 赎回
1768,,0,,0,如何 终止 已经 购买 的 理财 产品,如何 终止 已经 购买 的 理财 产品
1769,,0,,0,我 的 理财 产品 到期 了 ， 不 想 继续 买 了 怎么 办,我 的 理财 产品 到期 了 ， 不 想 继续 买 了 怎么 办
1770,! 赎 ! 回,2,! 赎回,1,携带 哪些 资料 去 柜台 办理 理财 赎 回,携带 哪些 资料 去 柜台 办理 理财 赎回
1771,,0,,0,已经 购买 的 理财 产品 不 想 要 了 怎么 取消,已经 购买 的 理财 产品 不 想 要 了 怎么 取消
1772,,0,,0,怎么 办理 理财 产品 赎回,怎么 办理 理财 产品 赎回
1773,,0,,0,怎么 终止 已经 购买 的 理财 产品,怎么 终止 已经 购买 的 理财 产品
1774,! 个人,1,! 个 ! 人,2,个人 理财 业务 不 想 办理 了 咋 办,个 人 理财 业务 不 想 办理 了 咋 办
1775,! 个人 ! 解绑 ! 办理,3,! 个 ! 人 ! 解 ! 绑 ! 办 ! 理,6,个人 理财 业务 解绑 应该 怎么 办理,个 人 理财 业务 解 绑 应该 怎么 办 理
1776,! 个人,1,! 个 ! 人,2,个人 理财 业务 可以 代理 吗,个 人 理财 业务 可以 代理 吗
1777,,0,,0,解除 个人 理财 业务 的 相关 要求,解除 个人 理财 业务 的 相关 要求
1778,,0,,0,解除 个人 理财 业务 都 有 什么 手续,解除 个人 理财 业务 都 有 什么 手续
1779,,0,,0,解除 个人 理财 业务 需要 带 什么 材料,解除 个人 理财 业务 需要 带 什么 材料
1780,,0,,0,解约 个人 理财 业务 去 柜台 带 什么 证件,解约 个人 理财 业务 去 柜台 带 什么 证件
1781,,0,,0,任意 网点 都 可以 办理 个人 理财 业务 的 解约 吗,任意 网点 都 可以 办理 个人 理财 业务 的 解约 吗
1782,,0,,0,我 到 哪里 可以 解除 个人 理财 业务,我 到 哪里 可以 解除 个人 理财 业务
1783,,0,,0,我 应该 怎么 取消 个人 理财 业务,我 应该 怎么 取消 个人 理财 业务
1784,,0,,0,拨打 95599 电话 可以 更改 个人 账户 签约 的 理财 信息 吗,拨打 95599 电话 可以 更改 个人 账户 签约 的 理财 信息 吗
1785,! 个人,1,! 个 ! 人,2,个人 理财 业务 签约 的 电话 怎么 修改,个 人 理财 业务 签约 的 电话 怎么 修改
1786,! 个人,1,! 个 ! 人,2,个人 签约 的 理财 信息 填 错 了 怎么 办,个 人 签约 的 理财 信息 填 错 了 怎么 办
1787,! 个人,1,! 个 ! 人,2,个人 签约 过 的 理财 是 在 任意 网点 都 可以 变更 吗,个 人 签约 过 的 理财 是 在 任意 网点 都 可以 变更 吗
1788,! 个人 ! 办理,2,! 个 ! 人 ! 办 ! 理,4,个人 签约 过 的 理财 信息 想 修改 怎么 办理,个 人 签约 过 的 理财 信息 想 修改 怎么 办 理
1789,,0,,0,通过 95999 可以 改 个人 签约 的 理财 信息 吗,通过 95999 可以 改 个人 签约 的 理财 信息 吗
1790,,0,,0,我 手机 号 换 了 ， 当时 签约 的 个人 理财 还 能 修改 吗,我 手机 号 换 了 ， 当时 签约 的 个人 理财 还 能 修改 吗
1791,,0,,0,我 想 变更 个人 理财 业务 留 的 电子 邮箱,我 想 变更 个人 理财 业务 留 的 电子 邮箱
1792,,0,,0,我 想 变更 个人 理财 业务 留 的 手机 号码,我 想 变更 个人 理财 业务 留 的 手机 号码
1793,,0,,0,怎么 更改 个人 账户 签约 的 理财 业务 信息,怎么 更改 个人 账户 签约 的 理财 业务 信息
1794,! 办理 ! 财,2,! 办 ! 理财,2,办理 财 的 途径 有 哪些,办 理财 的 途径 有 哪些
1795,,0,,0,存折 可以 签约 理财 业务 吗,存折 可以 签约 理财 业务 吗
1796,! 个人,1,! 个 ! 人,2,个人 客户 带 什么 东西 去 柜台 申请 理财,个 人 客户 带 什么 东西 去 柜台 申请 理财
1797,! 个人,1,! 个 ! 人,2,个人 想 买 理财 产品 有 什么 条件 吗,个 人 想 买 理财 产品 有 什么 条件 吗
1798,,0,,0,哪些 渠道 可以 申请 郑州 银行 理财,哪些 渠道 可以 申请 郑州 银行 理财
1799,,0,,0,签约 理财 业务 还 需要 调谐 风险 承受 能力 评估 问卷 吗,签约 理财 业务 还 需要 调谐 风险 承受 能力 评估 问卷 吗
1800,,0,,0,任意 网点 都 可 签约 理财 业务 吗,任意 网点 都 可 签约 理财 业务 吗
1801,,0,,0,我 想 买 理财,我 想 买 理财
1802,,0,,0,怎么 办理 财,怎么 办理 财
1803,! 个人 - /,2,! 个 ! 人,2,个人 认购 / 申购 理财 产品 有 要求 吗,个 人 认购  申购 理财 产品 有 要求 吗
1804,! 个人,1,! 个 ! 人,2,个人 申请 购买 理财 产品 需要 携带 哪些 资料,个 人 申请 购买 理财 产品 需要 携带 哪些 资料
1805,,0,,0,个人 账户 购买 理财 能 代办 吗,个人 账户 购买 理财 能 代办 吗
1806,,0,,0,个人 账户 申购 理财 产品 有 哪些 途径,个人 账户 申购 理财 产品 有 哪些 途径
1807,! 网银 - /,2,! 网 ! 银,2,可以 通过 个人 网银 认购 / 申购 理财 产品 吗,可以 通过 个人 网 银 认购  申购 理财 产品 吗
1808,,0,,0,拿 存折 可以 购买 个人 理财 产品 吗,拿 存折 可以 购买 个人 理财 产品 吗
1809,,0,,0,哪些 渠道 可以 申请 购买 个人 理财 产品,哪些 渠道 可以 申请 购买 个人 理财 产品
1810,- /,1,,0,任意 网点 都 可以 认购 / 申购 个人 理财 产品 吗,任意 网点 都 可以 认购  申购 个人 理财 产品 吗
1811,- /,1,,0,通过 95599 能 办理 认购 / 申购 理财 产品 吗,通过 95599 能 办理 认购  申购 理财 产品 吗
1812,- /,1,,0,外地 的 卡 能 在 本地 认购 / 申购 理财 产品 吗,外地 的 卡 能 在 本地 认购  申购 理财 产品 吗
1813,,0,,0,解除 企业 理财 业务 的 相关 要求,解除 企业 理财 业务 的 相关 要求
